,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
0,3-in-1 Sports Pack: Paintball Splat! / Dodgeball Dodge This! / Big Alley Bowling NA• Majesco's Sport Pack PAL,,2005 (NA)2006 (PAL),Skyworks Technologies,Majesco Entertainment,"NA, PAL"
1,"007: Everything or Nothing NA, PAL• James Bond 007: Everything or Nothing JP• 007: Quitte ou Double FR• 007: Alles oder Nichts DE",Yes,2003 (NA/PAL)2004 (JP),Griptonite Games,"EA Games NA, PAL / Electronic Arts JP","NA, JP, PAL"
2,007: Nightfire,Yes (VS),2003,JV Games Inc.,Electronic Arts,"NA, PAL"
3,A Sound of Thunder,"Yes (COOP, SPM)",2004 (PAL)2005 (NA),Möbius Entertainment,"BAM! Entertainment, Inc. / Franchise Interactive","NA, PAL"
4,Ace Combat Advance,No,2005 (NA)2006 (PAL),HumanSoft,Namco,"NA, PAL"
5,Ace Lightning,No,2002,Tiertex Design Studios,BBC Multimedia,PAL
6,Action Man: Robot Atak,No,2004,Magic Pockets,Atari,PAL
7,Activision Anthology,Yes (SPM),2003,Aspyr,Aspyr,
8,Advance Guardian Heroes,Yes (COOP),2004,Treasure Co. Ltd,Ubisoft,"NA, JP, PAL"
9,"Advance Wars NA, PAL /Game Boy Wars Advance & Game Boy Wars Advance 2 JP",Yes (SPM),2001,Intelligent Systems,Nintendo,"NA, PAL"
10,Advance Wars 2: Black Hole Rising,Yes (SPM),2003,Intelligent Systems,Nintendo,"NA, PAL"
11,Adventure of Tokyo Disney Sea,,2001,,Konami,JP
12,The Adventures of Jimmy Neutron vs. Jimmy Negatron,Yes (SPM),2002,HumanSoft,THQ,"NA, PAL"
13,"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies NA, PAL• Jimmy Neutron un Garçon Génial: L'Attaque des Twonkies FR",Yes,2004,Tantalus,THQ,"NA, PAL"
14,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,No,2003,Helixe,THQ,"NA, PAL"
15,"Aero the Acro-Bat: Rascal Rival Revenge NA, PAL• Acrobat Kid JP",No,2002,Atomic Planet Entertainment,Metro3D,"NA, JP, PAL"
16,Agassi Tennis Generation,Yes,2003,Aqua Pacific,DreamCatcher Interactive,"NA, PAL"
17,Agent Hugo: Roborumble,,2007,Program-Ace,ITE Media,PAL
